,target,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53,cell_54,cell_55,cell_56,cell_57,cell_58,cell_59,cell_60,cell_61,cell_62,cell_63,cell_64
300,digit_7,0,0,1,11,16,16,10,0,0,0,13,14,8,12,11,0,0,0,4,0,0,13,4,0,0,0,0,0,3,15,0,0,0,0,2,15,16,16,9,0,0,0,3,13,16,8,1,0,0,0,0,7,10,0,0,0,0,0,0,13,3,0,0,0
301,digit_3,0,0,7,15,16,12,0,0,0,4,16,11,12,12,0,0,0,2,7,1,13,11,0,0,0,0,0,13,16,6,0,0,0,0,0,11,15,16,3,0,0,0,0,0,1,15,8,0,0,0,5,16,12,15,8,0,0,0,7,16,16,13,2,0
302,digit_5,0,0,6,14,14,13,11,0,0,0,14,12,5,4,2,0,0,3,16,16,4,0,0,0,0,2,11,11,16,3,0,0,0,0,0,0,7,10,0,0,0,0,0,0,1,11,0,0,0,0,3,7,12,8,0,0,0,0,7,14,11,1,0,0
303,digit_1,0,0,0,10,13,0,0,0,0,0,0,13,16,5,0,0,0,0,0,16,16,4,0,0,0,0,3,16,16,7,0,0,0,0,7,16,16,9,0,0,0,0,9,16,16,10,0,0,0,0,10,16,16,14,0,0,0,0,1,5,7,15,8,0
304,digit_0,0,0,2,13,10,3,0,0,0,0,10,15,12,13,1,0,0,0,16,4,0,6,4,0,0,2,16,3,0,1,7,0,0,5,13,5,0,2,8,0,0,4,12,0,0,3,8,0,0,0,13,5,6,13,5,0,0,0,5,14,13,8,1,0
305,digit_0,0,0,5,13,13,5,0,0,0,0,16,16,10,15,3,0,0,5,16,2,1,8,4,0,0,4,13,0,0,4,8,0,0,8,12,0,0,6,7,0,0,5,15,0,0,7,7,0,0,0,16,8,5,15,3,0,0,0,5,14,15,9,0,0
306,digit_2,0,2,15,16,7,0,0,0,0,10,15,10,16,2,0,0,0,9,11,5,16,0,0,0,0,0,0,12,11,0,0,0,0,0,5,16,2,0,0,0,0,3,15,8,0,0,0,0,0,8,15,5,5,8,3,0,0,3,15,16,16,16,10,0
307,digit_2,0,0,5,15,15,2,0,0,0,3,16,9,16,5,0,0,0,5,9,1,16,1,0,0,0,0,0,10,9,0,0,0,0,0,1,16,3,0,0,0,0,0,9,9,0,0,0,0,0,0,11,14,7,6,2,0,0,0,6,16,16,15,2,0
308,digit_7,0,0,3,11,16,16,4,0,0,0,9,12,12,16,9,0,0,0,0,0,1,16,8,0,0,0,0,9,14,16,9,0,0,0,1,16,16,14,5,0,0,0,0,6,16,4,0,0,0,0,0,11,14,0,0,0,0,0,1,15,7,0,0,0
309,digit_8,0,0,4,13,16,14,2,0,0,2,15,5,4,14,4,0,0,8,15,6,1,15,1,0,0,4,16,16,13,10,0,0,0,0,1,9,16,10,0,0,0,0,4,14,3,14,6,0,0,0,9,10,3,13,8,0,0,0,3,15,16,11,1,0
310,digit_2,0,0,7,16,16,3,0,0,0,7,16,9,14,7,0,0,0,10,9,0,14,5,0,0,0,3,3,4,16,2,0,0,0,0,0,12,11,0,0,0,0,0,6,16,3,0,0,0,0,0,12,15,8,8,3,0,0,0,10,16,16,16,9,0
311,digit_0,0,0,4,13,11,7,0,0,0,0,14,16,13,16,2,0,0,5,16,4,0,5,7,0,0,8,14,0,0,4,8,0,0,6,9,0,0,4,8,0,0,2,14,1,0,8,6,0,0,0,13,12,9,15,2,0,0,0,3,16,12,5,0,0
312,digit_1,0,0,0,0,11,14,3,0,0,0,0,2,16,16,2,0,0,0,0,11,16,14,0,0,0,0,3,16,16,15,0,0,0,1,13,16,16,13,0,0,0,6,16,9,15,13,0,0,0,0,0,0,12,16,1,0,0,0,0,0,9,14,1,0
313,digit_2,0,2,11,16,12,1,0,0,0,9,16,9,16,4,0,0,0,14,7,4,16,1,0,0,0,6,5,9,14,0,0,0,0,0,3,16,5,0,0,0,0,0,13,14,0,0,0,0,0,3,16,11,8,12,9,0,0,2,15,16,16,13,16,1
314,digit_6,0,0,3,12,3,0,0,0,0,0,13,14,2,0,0,0,0,3,10,0,0,0,0,0,0,0,0,3,5,3,0,0,0,4,10,16,16,16,4,0,0,6,16,4,0,8,9,0,0,0,15,12,4,9,12,0,0,0,2,13,16,14,4,0
315,digit_3,0,2,11,16,15,2,0,0,0,12,15,12,16,4,0,0,0,3,3,6,16,2,0,0,0,0,2,15,12,0,0,0,0,0,3,16,16,12,1,0,0,0,0,1,6,15,10,0,0,0,6,12,8,14,11,0,0,1,16,16,16,11,3,0
316,digit_3,0,0,7,14,16,11,0,0,0,2,16,11,11,16,2,0,0,0,3,3,15,9,0,0,0,0,0,10,16,8,0,0,0,0,0,3,14,15,2,0,0,0,0,0,1,16,6,0,0,0,3,12,13,15,2,0,0,0,6,16,12,5,0,0
317,digit_7,0,0,5,16,16,16,16,11,0,0,6,9,5,5,15,8,0,0,0,0,0,9,11,1,0,0,0,3,6,16,3,0,0,0,5,16,16,16,7,0,0,0,4,8,16,4,1,0,0,0,1,13,10,0,0,0,0,0,3,16,2,0,0,0
318,digit_3,0,2,13,16,16,11,0,0,0,10,11,4,12,12,0,0,0,1,1,4,14,8,0,0,0,0,2,16,16,8,0,0,0,0,0,7,9,16,8,0,0,0,0,0,0,10,12,0,0,0,5,9,10,16,9,0,0,0,15,16,13,7,0,0
319,digit_3,0,1,10,16,16,6,0,0,0,7,14,9,12,12,0,0,0,1,1,5,15,5,0,0,0,0,3,16,14,3,0,0,0,0,1,11,14,16,6,0,0,0,0,0,0,12,11,0,0,0,7,8,13,16,5,0,0,0,15,16,12,5,0,0
320,digit_4,0,0,1,14,8,0,0,0,0,0,8,16,4,0,0,0,0,1,16,9,0,1,5,0,0,8,16,5,1,12,15,0,0,10,16,12,11,16,6,0,0,3,14,16,16,8,0,0,0,0,0,11,16,1,0,0,0,0,0,13,14,0,0,0
321,digit_6,0,0,2,12,8,0,0,0,0,0,12,13,5,0,0,0,0,1,16,1,0,0,0,0,0,2,14,0,0,0,0,0,0,2,16,5,10,10,4,0,0,0,16,14,8,6,13,0,0,0,13,9,2,4,14,0,0,0,3,10,16,16,7,0
322,digit_6,0,0,2,13,13,1,0,0,0,0,9,13,5,0,0,0,0,0,13,5,0,0,0,0,0,0,15,2,0,0,0,0,0,0,15,10,9,9,2,0,0,0,16,11,8,11,12,0,0,1,14,11,1,4,13,0,0,0,3,11,16,15,4,0
323,digit_6,0,0,1,13,4,0,0,0,0,0,5,15,2,0,0,0,0,0,12,7,0,0,0,0,0,0,14,6,0,0,0,0,0,0,16,12,15,15,7,0,0,0,14,14,6,4,14,1,0,0,9,14,3,4,14,2,0,0,1,7,14,16,11,0
324,digit_4,0,0,4,16,6,0,0,0,0,0,12,15,1,0,0,0,0,1,16,11,0,0,0,0,0,8,16,3,0,7,4,0,0,12,16,6,11,16,7,0,0,7,16,16,15,3,0,0,0,0,4,16,10,0,0,0,0,0,4,16,6,0,0,0
325,digit_9,0,0,0,9,15,16,9,0,0,0,10,13,4,12,7,0,0,5,14,1,2,15,3,0,0,4,14,12,16,15,0,0,0,0,1,1,13,7,0,0,0,0,0,4,15,1,0,0,0,0,0,11,8,0,0,0,0,0,0,12,4,0,0,0
326,digit_1,0,0,1,15,11,1,0,0,0,0,2,16,16,7,0,0,0,0,6,16,16,5,0,0,0,0,8,16,16,4,0,0,0,0,9,16,13,0,0,0,0,0,11,16,13,0,0,0,0,0,11,16,11,0,0,0,0,0,1,14,16,3,0,0
327,digit_5,0,0,2,10,16,4,0,0,1,10,16,16,15,4,0,0,0,16,16,10,1,0,0,0,0,15,16,16,7,0,0,0,0,5,11,5,15,2,0,0,0,0,0,0,11,9,0,0,0,0,3,10,16,9,0,0,0,0,2,16,15,2,0,0
328,digit_0,0,0,5,8,11,5,0,0,0,0,13,16,12,12,0,0,0,1,16,9,0,9,3,0,0,3,16,6,0,6,6,0,0,3,11,1,0,5,6,0,0,0,12,0,0,11,6,0,0,0,14,5,12,15,1,0,0,0,6,16,13,2,0,0
329,digit_9,0,0,3,14,16,8,0,0,0,3,15,8,4,15,1,0,0,8,10,0,3,16,8,0,0,3,15,13,16,14,1,0,0,0,2,5,16,4,0,0,0,0,0,8,11,0,0,0,0,0,0,15,2,0,0,0,0,0,2,13,0,0,0,0
330,digit_5,0,0,5,8,12,16,4,0,0,3,16,11,7,1,0,0,0,3,14,6,4,0,0,0,0,5,16,12,14,6,0,0,0,0,2,0,4,12,0,0,0,0,0,0,4,10,0,0,0,0,6,8,14,7,0,0,0,0,7,13,7,0,0,0
331,digit_2,0,0,11,16,15,5,0,0,0,8,16,14,16,8,0,0,0,11,10,0,16,8,0,0,0,3,1,6,16,2,0,0,0,0,1,15,10,0,0,0,0,0,11,15,1,0,0,0,0,0,16,14,12,12,8,0,0,1,15,16,16,14,8,0
332,digit_8,0,0,4,13,15,9,0,0,0,4,14,6,5,16,0,0,0,7,12,2,2,16,0,0,0,4,16,15,14,7,0,0,0,0,9,16,16,5,0,0,0,0,10,6,8,15,2,0,0,0,11,9,4,13,11,0,0,0,2,14,16,15,6,0
333,digit_2,0,2,15,16,15,2,0,0,0,8,14,8,14,8,0,0,0,7,5,2,16,5,0,0,0,0,0,12,13,0,0,0,0,0,8,15,1,0,0,0,0,1,15,7,0,0,0,0,0,4,16,9,8,8,2,0,0,2,15,16,16,16,13,0
334,digit_0,0,0,3,11,16,10,0,0,0,0,10,16,10,14,6,0,0,0,15,7,0,11,8,0,0,3,16,2,0,8,8,0,0,4,12,0,0,9,8,0,0,6,15,1,0,12,8,0,0,3,15,10,8,15,4,0,0,0,5,12,14,9,0,0
335,digit_0,0,0,7,15,9,5,0,0,0,0,14,16,14,15,0,0,0,1,16,8,4,6,4,0,0,4,15,1,0,6,5,0,0,3,11,0,0,7,5,0,0,3,11,0,1,13,2,0,0,1,13,8,13,13,0,0,0,0,6,15,11,1,0,0
336,digit_1,0,0,0,2,13,9,0,0,0,0,0,7,16,15,0,0,0,0,0,11,16,7,0,0,0,0,0,15,16,2,0,0,0,0,7,16,14,0,0,0,0,0,13,16,14,0,0,0,0,0,8,15,16,0,0,0,0,0,0,3,13,8,0,0
337,digit_7,0,0,3,11,16,15,1,0,0,1,16,14,10,16,2,0,0,5,12,0,8,12,0,0,0,0,1,1,13,9,0,0,0,0,11,16,16,13,2,0,0,0,11,14,15,12,5,0,0,0,0,15,9,0,0,0,0,0,0,15,5,0,0,0
338,digit_6,0,0,0,4,15,1,0,0,0,0,0,13,8,1,0,0,0,0,6,12,0,0,0,0,0,0,8,10,0,0,0,0,0,0,13,12,11,10,0,0,0,4,16,15,8,11,10,0,0,1,7,15,4,3,12,0,0,0,0,7,15,16,8,0
339,digit_3,0,0,8,14,15,6,0,0,0,4,16,12,14,11,0,0,0,4,8,1,14,7,0,0,0,0,0,14,16,5,0,0,0,0,0,11,16,16,2,0,0,0,0,0,1,15,7,0,0,0,4,11,8,14,7,0,0,0,11,16,16,10,0,0
340,digit_2,0,0,10,16,16,7,0,0,0,6,15,9,14,12,0,0,0,3,5,0,13,8,0,0,0,0,0,10,13,0,0,0,0,0,2,16,4,0,0,0,0,0,12,8,0,0,0,0,0,0,16,13,11,8,3,0,0,0,12,16,16,16,5,0
341,digit_1,0,0,0,0,10,11,0,0,0,0,0,0,16,13,0,0,0,0,0,7,16,9,0,0,0,0,0,13,16,3,0,0,0,0,10,16,16,0,0,0,0,0,15,16,16,4,0,0,0,3,12,6,16,6,0,0,0,0,0,0,10,13,7,0
342,digit_7,0,0,3,13,16,11,0,0,0,0,14,12,14,16,1,0,0,0,6,0,7,15,0,0,0,0,0,0,12,11,0,0,0,0,8,13,16,14,4,0,0,5,16,16,14,12,4,0,0,0,3,16,3,0,0,0,0,0,8,13,0,0,0,0
343,digit_4,0,0,2,13,13,0,0,0,0,0,9,16,6,0,0,0,0,0,14,16,2,0,4,0,0,5,16,10,1,13,15,0,0,7,16,16,16,16,4,0,0,0,8,15,16,8,0,0,0,0,0,14,10,0,0,0,0,0,1,16,11,0,0,0
344,digit_6,0,0,3,11,0,0,0,0,0,0,12,11,0,0,0,0,0,1,14,1,0,0,0,0,0,2,15,0,0,0,0,0,0,4,15,15,16,15,2,0,0,1,16,8,4,8,11,0,0,1,16,11,7,10,12,0,0,0,5,10,12,15,7,0
345,digit_3,0,0,12,16,16,13,1,0,0,4,15,9,12,16,2,0,0,0,2,0,11,15,0,0,0,0,0,12,16,4,0,0,0,0,0,8,16,13,1,0,0,0,0,0,6,16,6,0,0,0,4,6,6,16,6,0,0,0,12,16,16,9,0,0
346,digit_1,0,0,0,12,15,2,0,0,0,0,0,13,16,8,0,0,0,0,0,14,16,9,0,0,0,0,0,13,16,6,0,0,0,0,7,16,16,3,0,0,0,1,16,16,16,1,0,0,0,0,8,16,16,2,0,0,0,0,0,9,16,7,0,0
347,digit_3,0,2,10,14,11,1,0,0,0,7,15,8,16,4,0,0,0,1,1,6,15,1,0,0,0,0,0,15,9,0,0,0,0,0,1,16,15,9,1,0,0,0,0,1,6,15,8,0,0,2,8,4,6,15,7,0,0,2,13,16,15,9,0,0
348,digit_9,0,0,2,10,16,13,0,0,0,3,16,8,2,16,1,0,0,8,13,0,2,16,6,0,0,6,16,12,16,16,7,0,0,0,2,4,8,12,1,0,0,0,0,1,15,3,0,0,0,0,0,9,10,0,0,0,0,0,1,16,3,0,0,0
349,digit_1,0,0,1,14,7,0,0,0,0,0,6,16,16,1,0,0,0,0,7,16,15,0,0,0,0,0,6,16,15,0,0,0,0,0,6,16,15,0,0,0,0,0,4,16,16,1,0,0,0,0,4,16,16,6,0,0,0,0,1,15,16,8,0,0
350,digit_7,0,0,6,15,16,3,0,0,0,3,16,12,15,8,0,0,0,0,4,0,14,6,0,0,0,0,0,2,16,6,2,0,0,0,4,14,16,16,8,0,0,0,15,16,7,0,0,0,0,0,6,16,0,0,0,0,0,0,7,9,0,0,0,0
351,digit_6,0,0,0,11,16,2,0,0,0,0,7,16,8,2,0,0,0,0,15,7,0,0,0,0,0,0,16,4,3,1,0,0,0,1,16,16,16,16,4,0,0,0,14,12,4,6,12,0,0,0,10,16,5,10,15,0,0,0,2,11,16,12,8,0
352,digit_8,0,0,3,10,12,12,2,0,0,1,13,12,6,13,8,0,0,8,16,8,8,14,1,0,0,5,14,16,16,3,0,0,0,0,12,16,15,2,0,0,0,3,16,2,15,10,0,0,0,4,16,8,12,12,0,0,0,0,9,16,15,3,0,0
353,digit_4,0,0,0,9,11,0,0,0,0,0,2,15,8,0,0,0,0,0,11,15,1,3,8,0,0,6,16,4,0,14,12,0,0,12,16,4,11,16,5,0,0,9,16,16,16,11,0,0,0,0,6,11,16,7,0,0,0,0,0,10,16,4,0,0
354,digit_3,0,1,12,16,10,0,0,0,0,7,11,7,14,1,0,0,0,2,2,3,14,0,0,0,0,0,3,14,6,0,0,0,0,0,12,16,16,6,0,0,0,0,2,0,5,15,6,0,0,1,11,4,4,13,8,0,0,2,14,16,16,13,1,0
355,digit_1,0,0,3,16,11,0,0,0,0,0,0,16,16,6,0,0,0,0,0,13,16,7,0,0,0,0,0,11,16,10,0,0,0,0,0,12,16,6,0,0,0,0,3,16,16,2,0,0,0,0,5,16,15,0,0,0,0,0,3,13,15,0,0,0
356,digit_4,0,0,2,15,12,0,0,0,0,0,9,16,5,0,2,0,0,2,15,10,0,11,16,1,0,10,16,4,6,16,10,0,0,6,16,16,16,15,1,0,0,0,6,13,16,4,0,0,0,0,0,15,13,0,0,0,0,0,6,16,5,0,0,0
357,digit_0,0,0,3,14,7,0,0,0,0,0,14,16,14,9,0,0,0,4,16,16,11,15,3,0,0,5,15,6,0,4,8,0,0,8,8,0,0,4,8,0,0,5,11,0,0,6,6,0,0,0,13,10,5,15,5,0,0,0,2,12,14,8,0,0
358,digit_5,0,0,5,11,16,12,0,0,0,0,16,12,4,3,0,0,0,4,16,6,3,0,0,0,0,4,15,16,16,9,0,0,0,0,0,0,3,16,6,0,0,0,0,0,0,11,6,0,0,0,0,1,8,15,1,0,0,0,6,16,13,1,0,0
359,digit_3,0,0,6,13,16,10,0,0,0,4,13,5,4,16,0,0,0,0,0,1,10,8,0,0,0,0,0,12,16,3,0,0,0,0,0,3,7,15,1,0,0,0,0,0,0,9,8,0,0,0,8,6,3,11,7,0,0,0,4,14,16,11,1,0
360,digit_6,0,0,1,13,7,0,0,0,0,0,7,14,2,0,0,0,0,0,13,5,0,0,0,0,0,0,16,3,0,0,0,0,0,3,16,10,12,12,3,0,0,3,16,11,5,9,12,0,0,1,13,11,4,13,11,0,0,0,1,12,16,11,2,0
361,digit_9,0,0,3,11,15,13,2,0,0,2,15,11,8,14,7,0,0,8,14,0,2,13,2,0,0,3,13,16,16,15,1,0,0,0,0,0,14,5,0,0,0,0,0,7,14,0,0,0,0,0,1,15,4,0,0,0,0,0,2,16,1,0,0,0
362,digit_6,0,0,1,10,14,0,0,0,0,0,8,14,11,3,0,0,0,0,16,2,2,0,0,0,0,3,13,0,0,0,0,0,0,4,13,0,6,10,3,0,0,3,15,13,12,10,12,0,0,0,10,16,4,5,14,0,0,0,0,9,15,14,9,0
363,digit_1,0,0,8,16,15,8,0,0,0,1,16,16,16,2,0,0,0,2,16,16,10,0,0,0,0,2,16,16,12,0,0,0,0,6,16,16,13,0,0,0,0,1,16,16,11,0,0,0,0,0,16,16,10,0,0,0,0,0,7,15,15,0,0,0
364,digit_7,0,0,8,16,16,1,0,0,0,1,12,10,16,5,0,0,0,0,0,3,16,6,0,0,0,0,0,6,16,2,0,0,0,4,12,14,16,12,5,0,0,12,16,16,14,12,5,0,0,0,6,13,0,0,0,0,0,0,11,8,0,0,0,0
365,digit_5,0,2,12,13,16,15,1,0,0,8,16,14,11,7,0,0,0,8,16,7,0,0,0,0,0,7,16,16,11,1,0,0,0,0,2,6,15,9,0,0,0,0,0,0,9,15,0,0,0,0,1,7,16,11,0,0,0,1,16,16,13,1,0,0
366,digit_4,0,0,0,10,14,0,0,0,0,0,1,16,10,0,0,0,0,0,10,16,1,0,0,0,0,4,16,8,0,3,5,0,0,10,15,0,2,15,10,0,0,12,16,14,16,13,1,0,0,2,11,14,16,3,0,0,0,0,0,8,16,2,0,0
367,digit_4,0,0,0,7,12,0,0,0,0,0,3,14,6,0,0,0,0,0,11,8,0,0,1,0,0,4,16,3,1,10,10,0,0,8,16,12,14,13,3,0,0,2,12,10,16,5,0,0,0,0,0,6,16,0,0,0,0,0,0,6,13,0,0,0
368,digit_7,0,0,2,13,16,13,0,0,0,0,14,15,14,16,0,0,0,0,5,0,10,15,0,0,0,0,0,0,13,13,0,0,0,0,7,14,16,16,7,0,0,0,14,16,14,10,3,0,0,0,3,15,5,0,0,0,0,0,4,15,0,0,0,0
369,digit_2,0,0,7,12,12,2,0,0,0,5,15,6,10,9,0,0,0,11,4,0,11,6,0,0,0,3,0,2,15,2,0,0,0,0,1,13,6,0,0,0,0,0,11,11,1,0,0,0,0,1,16,7,4,4,2,0,0,0,11,12,13,14,11,0
370,digit_8,0,0,7,13,16,11,0,0,0,3,16,5,4,14,2,0,0,8,11,1,4,15,2,0,0,3,12,14,16,8,0,0,0,0,8,16,15,1,0,0,0,1,15,5,11,12,0,0,0,3,16,5,7,16,1,0,0,0,5,14,16,15,2,0
371,digit_2,0,3,15,16,13,1,0,0,0,10,13,9,16,4,0,0,0,1,1,0,16,6,0,0,0,0,0,10,15,1,0,0,0,0,10,16,3,0,0,0,0,3,16,7,0,0,0,0,0,5,16,13,12,7,2,0,0,2,13,13,13,16,15,0
372,digit_2,0,3,13,16,9,0,0,0,0,10,15,13,15,2,0,0,0,15,4,4,16,1,0,0,0,0,0,5,16,2,0,0,0,0,1,14,13,0,0,0,0,0,10,16,5,0,0,0,0,4,16,13,8,10,9,1,0,2,16,16,14,12,9,1
373,digit_5,0,0,7,11,12,14,2,0,0,8,16,9,4,3,0,0,0,10,15,5,0,0,0,0,0,3,12,16,14,4,0,0,0,0,0,2,13,16,2,0,0,0,0,0,0,15,9,0,0,0,2,4,8,15,9,0,0,0,10,16,13,8,0,0
374,digit_7,0,0,1,9,16,16,3,0,0,0,14,11,8,16,8,0,0,0,4,0,0,15,6,0,0,0,0,0,7,16,3,0,0,0,6,12,16,16,9,0,0,1,16,14,16,5,0,0,0,0,2,8,16,0,0,0,0,0,0,12,7,0,0,0
375,digit_9,0,0,0,5,13,16,8,0,0,0,8,15,6,7,14,0,0,2,16,1,1,11,10,0,0,4,16,15,16,16,6,0,0,0,4,4,5,15,1,0,0,0,0,0,9,8,0,0,0,0,0,2,15,1,0,0,0,0,0,6,10,0,0,0
376,digit_5,0,4,10,15,16,16,14,0,0,11,16,14,8,5,2,0,0,6,16,8,0,0,0,0,0,0,10,15,1,0,0,0,0,0,2,16,5,0,0,0,0,0,0,13,10,0,0,0,0,5,10,14,10,0,0,0,0,3,16,15,3,0,0,0
377,digit_4,0,0,1,15,7,0,0,0,0,0,6,16,3,0,0,0,0,1,16,10,0,1,3,0,0,5,16,3,1,12,15,0,0,11,16,8,14,15,3,0,0,6,16,16,16,5,0,0,0,0,1,14,11,0,0,0,0,0,2,16,12,0,0,0
378,digit_8,0,0,4,11,14,4,0,0,0,5,13,4,9,7,0,0,0,7,10,10,13,2,0,0,0,1,9,16,15,2,0,0,0,0,8,7,9,12,0,0,0,0,12,0,1,14,5,0,0,0,11,6,0,7,8,0,0,0,2,15,16,15,4,0
379,digit_8,0,0,3,12,15,14,3,0,0,1,16,5,0,8,12,0,0,6,16,11,2,13,7,0,0,2,9,15,16,4,0,0,0,0,3,14,16,7,0,0,0,0,9,5,6,15,0,0,0,0,11,10,7,16,2,0,0,0,3,12,16,13,0,0
380,digit_4,0,0,0,6,16,2,0,0,0,0,2,15,15,0,0,0,0,0,15,16,3,2,3,0,0,7,16,7,3,15,11,0,0,7,16,14,14,16,5,0,0,1,7,12,16,10,0,0,0,0,0,7,16,4,0,0,0,0,0,10,15,0,0,0
381,digit_9,0,0,0,2,9,16,10,0,0,0,7,15,8,7,12,0,0,1,15,3,0,11,12,0,0,8,14,9,13,16,8,0,0,1,7,7,3,13,4,0,0,0,0,0,5,13,0,0,0,0,0,0,10,9,0,0,0,0,0,0,14,4,0,0
382,digit_0,0,0,5,11,4,1,0,0,0,0,15,16,16,11,0,0,0,2,16,9,2,12,4,0,0,6,13,0,0,6,6,0,0,3,13,0,0,5,9,0,0,3,16,0,0,6,8,0,0,0,13,12,8,16,7,0,0,0,4,13,12,10,0,0
383,digit_8,0,0,1,13,16,14,4,0,0,2,11,8,4,11,7,0,0,6,16,3,3,13,2,0,0,0,9,14,14,4,0,0,0,0,7,16,10,0,0,0,0,0,12,10,16,1,0,0,0,0,11,10,15,4,0,0,0,0,1,14,15,1,0,0
384,digit_9,0,0,0,9,15,12,1,0,0,1,11,12,5,15,4,0,0,6,14,0,0,13,7,0,0,5,16,12,12,16,4,0,0,0,3,8,14,8,0,0,0,0,0,2,15,1,0,0,0,0,0,9,10,0,0,0,0,0,0,10,9,0,0,0
385,digit_3,0,1,9,15,16,9,0,0,0,6,12,1,2,16,0,0,0,0,1,0,8,14,0,0,0,0,0,10,15,3,0,0,0,0,0,7,15,5,0,0,0,0,0,0,4,13,2,0,0,2,7,4,4,14,3,0,0,0,9,16,16,10,0,0
386,digit_0,0,0,9,15,5,0,0,0,0,3,15,15,16,4,0,0,0,10,14,0,9,14,0,0,0,8,12,0,0,12,5,0,0,8,8,0,0,10,8,0,0,5,14,0,0,12,8,0,0,0,16,7,12,16,4,0,0,0,9,16,15,7,0,0
387,digit_1,0,0,0,0,13,16,6,0,0,0,3,11,16,16,5,0,0,5,16,16,16,16,4,0,0,4,10,9,16,16,4,0,0,0,0,0,13,16,4,0,0,0,0,0,12,16,4,0,0,0,0,2,16,16,7,0,0,0,0,1,12,14,5,0
388,digit_2,0,0,7,14,5,0,0,0,0,5,16,16,11,0,0,0,0,2,14,2,14,0,0,0,0,0,0,5,16,0,0,0,0,0,0,8,16,0,0,0,0,0,0,11,12,0,0,0,0,0,11,16,14,8,10,0,0,0,7,12,12,12,15,2
389,digit_3,0,0,8,12,12,14,3,0,0,0,11,11,10,16,2,0,0,0,0,0,9,13,0,0,0,0,0,14,16,13,0,0,0,0,0,8,8,16,4,0,0,0,3,0,0,16,4,0,0,1,16,9,9,15,2,0,0,1,11,14,15,3,0,0
390,digit_4,0,0,0,2,13,1,0,0,0,0,0,9,15,2,0,0,0,0,4,16,16,8,0,0,0,0,12,9,14,6,0,0,0,5,14,0,13,7,1,0,0,9,15,12,16,16,4,0,0,2,8,9,16,10,1,0,0,0,0,1,13,2,0,0
391,digit_5,0,0,12,13,12,12,12,0,0,0,16,13,12,11,11,0,0,0,16,13,11,2,0,0,0,3,16,14,16,7,0,0,0,0,0,0,11,11,0,0,0,0,0,0,8,11,0,0,0,1,14,11,15,9,0,0,0,0,10,14,12,0,0,0
392,digit_6,0,0,1,11,14,0,0,0,0,0,9,16,12,0,0,0,0,1,16,7,0,0,0,0,0,7,16,5,5,4,0,0,0,7,16,16,16,16,5,0,0,0,16,13,4,13,7,0,0,0,9,16,14,16,4,0,0,0,1,11,14,9,0,0
393,digit_7,0,0,2,12,8,7,6,2,0,0,9,16,15,16,16,5,0,0,13,11,0,10,14,0,0,0,11,3,2,15,4,0,0,0,0,0,11,9,0,0,0,0,0,8,16,4,0,0,0,0,0,15,12,0,0,0,0,0,4,16,2,0,0,0
394,digit_8,0,0,1,6,8,9,3,0,0,0,13,15,12,11,7,0,0,0,13,11,0,9,7,0,0,0,5,15,15,15,0,0,0,0,1,14,16,16,0,0,0,0,11,9,0,16,1,0,0,0,9,10,10,13,0,0,0,0,3,11,9,2,0,0
395,digit_9,0,0,7,14,13,8,0,0,0,1,15,13,14,14,0,0,0,0,13,13,13,16,3,0,0,0,4,14,13,16,4,0,0,0,0,0,0,12,4,0,0,0,0,0,0,14,4,0,0,7,16,9,10,15,2,0,0,1,8,13,15,8,0,0
396,digit_0,0,0,4,13,12,1,0,0,0,2,15,14,16,13,0,0,0,6,16,4,6,16,5,0,0,8,15,1,0,12,8,0,0,8,12,0,0,12,8,0,0,5,13,0,1,13,8,0,0,1,15,10,12,16,3,0,0,0,6,16,13,4,0,0
397,digit_1,0,0,1,8,16,7,0,0,0,0,3,16,16,12,0,0,0,1,15,16,16,12,0,0,0,3,12,15,16,12,0,0,0,0,0,8,16,10,0,0,0,0,0,11,16,14,0,0,0,0,0,11,16,16,1,0,0,0,0,5,13,7,0,0
398,digit_2,0,0,7,13,3,0,0,0,0,0,15,16,11,0,0,0,0,0,14,5,15,3,0,0,0,0,6,2,14,5,0,0,0,0,0,0,12,8,0,0,0,0,0,6,16,4,4,0,0,0,7,16,16,16,16,3,0,0,6,15,6,9,9,1
399,digit_3,0,0,10,16,10,0,0,0,0,8,16,14,16,2,0,0,0,3,15,8,16,3,0,0,0,0,0,11,16,7,0,0,0,0,0,3,10,15,2,0,0,0,10,0,0,14,8,0,0,1,16,6,8,13,8,0,0,1,15,16,13,10,1,0
400,digit_4,0,0,0,11,4,0,0,0,0,0,1,16,4,3,0,0,0,0,10,9,16,4,0,0,0,2,14,5,16,2,0,0,0,8,13,7,16,11,2,0,0,10,16,16,16,14,1,0,0,0,0,11,13,0,0,0,0,0,0,11,7,0,0,0
